English	French
studying how to communicate effectively is time well spent	étudier comment communiquer de manière efficace est du temps bien dépensé
i will leave	je partirai
the game would not have been called off if it had not rained so heavily	la partie n aurait pas été annulée s il n avait pas plu aussi fortement
you do not seem too worried	tu ne sembles pas trop soucieux
they should thank me	ils devraient me remercier
i went to the station	je suis allé à la gare
do not you see what that means	ne vois tu pas ce que cela signifie
i just cannot take it	je ne peux simplement pas le prendre
compare your answers with the teacher s	compare tes réponses avec celles du professeur
i wonder why she is so worried	je me demande pourquoi elle est si inquiète
they stayed friends	ils continuèrent à être amis
i do not know what s happening	j ignore ce qui se passe
she greeted him cheerfully	elle l a accueilli gaiement
whose is this bicycle	à qui est ce vélo
how many apples do you want	combien de pommes veux tu
it was tom that saved the girl	ce est tom qui a sauvé cette fille
she hired him as an interpreter	elle l engagea comme interprète
mary is the prettiest girl in her class	marie est la fille la plus mignonne de sa classe
lincoln died in	lincoln est mort en
i am not a teacher	je ne suis pas enseignant
these two brothers resemble each other	ces deux frères se ressemblent
i have not seen you for a while	je ne vous ai pas vus depuis un moment
it was pretty obvious	c était assez évident
this book is still copyrighted	les droits de ce livre sont encore protégés
do not be so rough on yourself	vous ne devriez pas être si dure avec vous même
she breaks a dish every time she washes dishes	elle casse une assiette chaque fois qu elle fait la vaisselle
do you want help with that	voulez vous de l aide pour ça
republicans were defeated in many states	les républicains furent battus dans de nombreux états
what s there to do	que est ce qu il y a à faire
god made the universe	dieu créa l univers
do i annoy you	est ce que je t ennuie
it was careless of you to forget your homework	il était négligent de votre part d oublier vos devoirs à la maison
she fainted when she saw blood	elle s évanouit quand elle vit du sang
she always says nice things about him	elle dit toujours des choses agréables à son sujet
she is a tough woman	ce est une femme forte
the economy still has not completely recovered from the financial crisis	l économie ne s est pas encore complètement remise de la crise financière
your hair is too long	vos cheveux sont trop longs
i lost that argument	je ai perdu cette joute verbale
your parents ought to know it	tes parents le savent forcément
i figured you might change your mind	je me suis figuré que tu changerais peut être d avis
he caught hold of the rope	il attrapa la corde
you think i am scared do not you	tu penses que je ai peur ne est ce pas
you are very curious	tu es très curieux
i love my life	j adore ma vie
they accused him of telling a lie	elles l accusèrent de dire un mensonge
to tell the truth i felt lonely	à dire vrai je me sentais seul
i told tom not to come	je ai dit à tom de ne pas venir
i was not involved	on ne m a pas impliquée
the coal is burning	le charbon se consume
gold will not buy everything	l or n achète pas tout
come and help us	viens nous aider
would you like to come in	aimeriez vous entrer
let us take a bus	prenons un bus
it occurred to me spontaneously	cela me vint spontanément à l esprit
did you make this doll by yourself	t es tu fait cette poupée toi même
how far do you live from here	à quelle distance d ici vis tu
actually the problem is not new	en fait le problème ne est pas nouveau
my grandfather goes for walks on days when the weather is good	mon grand père fait des promenades quand il fait beau
he is a bit of a drunkard	il est un peu alcoolique
i do not like to eat fish with many bones	je n aime pas les poissons qui ont trop d arêtes
what other movies did you watch	quels autres films as tu regardé
the most amazing thing happened yesterday	la chose la plus merveilleuse est arrivée hier
there were no problems	il n y eut pas de problèmes
are not you thirsty	n as tu pas soif
he made no reply	il n a pas fait de réponse
british english differs from american english in many ways	l anglais britannique se différencie en plusieurs points de l anglais américain
it makes me so happy	cela me rend si heureux
this suitcase is too heavy for you	cette valise est trop lourde pour vous
why could not i be the one to help you	pourquoi ne pourrais je pas être celle qui t aide
at a glance he knew that the child was hungry	d un seul regard il sut que l enfant avait faim
if it rains bring the washing in	s il pleut rentre le linge
do not lie	ne mens pas
why did not you tell us that	pourquoi ne nous l as tu pas dit
have you ever sold a car	as tu déjà vendu une voiture
it is said the house is haunted	on dit que la maison est hantée
i am american	je suis américaine
i feel giddy	je suis pris de vertiges
i got a call from her this morning	je ai eu un appel d elle ce matin
tom s feet were cold	les pieds de tom étaient froids
how much milk is there left	combien reste t il de lait
you will soon be convinced i am right	vous serez bientôt convaincu que je ai raison
go to the hospital	va à l hôpital
is there any life on mars	y a t il la moindre vie sur mars
she brought a cup of tea to me	elle m a apporté une tasse de thé
she lives next door to us	elle vit la porte à côté de la nôtre
you should not stay up so late at night	vous ne devriez pas veiller aussi tard
i really wish i knew how to do that	j aimerais vraiment savoir faire ça
she studied english in the morning	elle étudiait l anglais le matin
i am not sure how to pronounce the word	je ne suis pas sûr de la prononciation de ce mot
i am a musician	je suis musicienne
tom bought a gift for his daughter	tom a acheté un cadeau pour sa fille
tom should let mary know that he likes her	tom devrait faire savoir à mary qu il l apprécie
apples were served as the dessert	on servit des pommes comme dessert
the nurse tied a rubber tube around my arm before he drew blood	l infirmier attacha un tube de caoutchouc autour de mon bras avant d extraire du sang
i guess i should not complain	je suppose que je ne devrais pas me plaindre
do you want help with that	veux tu de l aide pour ça
did she have a hard time	a t elle eu du fil à retordre
we were not even in boston at that time	on n était même pas à boston à ce moment là
does it hurt	est ce que ça fait mal
this game is so hard	ce jeu est tellement difficile
go to your room now	va dans ta chambre maintenant
i cannot figure out how to solve this problem	je n arrive pas à trouver comment résoudre ce problème
they supported his right to speak freely	elles soutinrent son droit à parler librement
he does not earn enough money to live on	il ne gagne pas assez d argent pour vivre
the man aimed a gun at the policeman	l homme pointa une arme en direction de l agent de police
